stock,avg_volume
002405.SZ.csv,24269455.103276648
000973.SZ.csv,24040139.9508
300079.SZ.csv,24000544.069777045
000518.SZ.csv,23974741.5196
000078.SZ.csv,23972310.3536
600011.SH.csv,23918881.5728
600782.SH.csv,23830175.4812
600210.SH.csv,23766067.7112
002176.SZ.csv,23754463.81
000636.SZ.csv,23735920.2284
601838.SH.csv,23611791.56635514
300355.SZ.csv,23483196.443293348
601012.SH.csv,23465775.942622952
000592.SZ.csv,23410034.3944
000877.SZ.csv,23387580.8016
601666.SH.csv,23374391.2108
002547.SZ.csv,23132073.44618834
600871.SH.csv,23124812.2908
601929.SH.csv,23108193.228441756
601005.SH.csv,22959593.1976
000670.SZ.csv,22936549.915995397
300027.SZ.csv,22891397.742
000831.SZ.csv,22890596.314705882
601388.SH.csv,22822339.868312757
300352.SZ.csv,22809989.665582657
601228.SH.csv,22804838.35349462
600811.SH.csv,22780763.718
600153.SH.csv,22756823.6892
600598.SH.csv,22626153.9536
600547.SH.csv,22547359.9148
000021.SZ.csv,22528051.0104
600546.SH.csv,22511687.0444
600183.SH.csv,22454108.2768
600581.SH.csv,22312361.7732
601628.SH.csv,22306145.6716
600759.SH.csv,22268174.152
600130.SH.csv,22255428.3996
000917.SZ.csv,22205857.474
000627.SZ.csv,22102206.1292
000401.SZ.csv,22059551.9268
600777.SH.csv,22058167.8356
600376.SH.csv,22056331.6932
002415.SZ.csv,21971392.712442778
002230.SZ.csv,21886201.4064
600418.SH.csv,21874353.0792
300185.SZ.csv,21805630.81154193
600846.SH.csv,21751812.6084
603799.SH.csv,21705866.66929134
000616.SZ.csv,21693226.2544
002092.SZ.csv,21612555.9428
002497.SZ.csv,21562430.49499347
601011.SH.csv,21560757.820027065
000988.SZ.csv,21487701.9988
002716.SZ.csv,21482943.664026402
601991.SH.csv,21405438.4324
600360.SH.csv,21303205.2308
600642.SH.csv,21240546.3836
002241.SZ.csv,21195346.9056
600653.SH.csv,21156480.6412
000572.SZ.csv,21051127.93
000878.SZ.csv,21050495.4184
000977.SZ.csv,20919434.2664
000723.SZ.csv,20906502.074
002155.SZ.csv,20896078.3
600739.SH.csv,20875029.3564
600435.SH.csv,20852323.4824
600406.SH.csv,20846553.6328
300459.SZ.csv,20760412.877602
000876.SZ.csv,20719485.5744
000882.SZ.csv,20675795.3964
600495.SH.csv,20673948.8412
600720.SH.csv,20624006.5264
002078.SZ.csv,20587124.4732
002177.SZ.csv,20583203.1592
600512.SH.csv,20567802.1268
600026.SH.csv,20527594.13
600816.SH.csv,20493122.8388
300433.SZ.csv,20487341.523771152
601928.SH.csv,20441457.473735888
002467.SZ.csv,20426876.804543506
002429.SZ.csv,20381227.901837926
000006.SZ.csv,20368312.7264
600740.SH.csv,20322808.5452
601002.SH.csv,20297157.2744
601577.SH.csv,20289248.507978722
600006.SH.csv,20255710.7612
000050.SZ.csv,20236769.6912
300251.SZ.csv,20187042.81663516
600033.SH.csv,20177074.444
600787.SH.csv,20170201.4176
600330.SH.csv,20166207.1308
002157.SZ.csv,20144744.4404
600988.SH.csv,20094498.1152
000488.SZ.csv,20089026.5364
601588.SH.csv,20063578.4992
600970.SH.csv,20033891.3888
600325.SH.csv,20032218.9296
600428.SH.csv,19877964.1712
600331.SH.csv,19822357.8436
000650.SZ.csv,19734074.3172
601155.SH.csv,19651414.74718045
600875.SH.csv,19624009.588
600020.SH.csv,19573161.3884
300058.SZ.csv,19572244.731549066
002266.SZ.csv,19517712.714
600320.SH.csv,19490613.6356
600196.SH.csv,19437991.3704
600895.SH.csv,19432382.0188
601952.SH.csv,19426661.350140058
600595.SH.csv,19416010.4032
600321.SH.csv,19413709.0308
000659.SZ.csv,19394126.7208
002236.SZ.csv,19369795.3956
600718.SH.csv,19368711.718
600586.SH.csv,19358127.8264
000528.SZ.csv,19329814.8648
600231.SH.csv,19295329.0252
600545.SH.csv,19290219.8948
000960.SZ.csv,19275181.4556
002183.SZ.csv,19237475.14
000507.SZ.csv,19233231.52
002161.SZ.csv,19211080.978
300116.SZ.csv,19196281.183140777
600186.SH.csv,19191482.2936
600770.SH.csv,19091074.028
002065.SZ.csv,19085807.6672
300292.SZ.csv,19083269.62910561
600067.SH.csv,19044347.9648
600326.SH.csv,19043456.9868
300111.SZ.csv,19038356.627509613
002217.SZ.csv,18963008.9856
601997.SH.csv,18954967.84304933
600490.SH.csv,18947362.0692
600392.SH.csv,18921996.3156
000851.SZ.csv,18886692.5128
601865.SH.csv,18836464.465034965
000690.SZ.csv,18835467.33
601008.SH.csv,18773622.2744
600123.SH.csv,18769640.0564
000886.SZ.csv,18754904.1612
601016.SH.csv,18740727.276091784
600572.SH.csv,18723613.9408
600675.SH.csv,18703635.112
600643.SH.csv,18676154.9636
600565.SH.csv,18619818.5448
601958.SH.csv,18603968.5832
600177.SH.csv,18545158.07
002079.SZ.csv,18512980.326
601330.SH.csv,18448467.698447894
000800.SZ.csv,18416492.8296
600309.SH.csv,18400137.974
601606.SH.csv,18373267.507281553
000059.SZ.csv,18337492.95
600380.SH.csv,18317887.2992
600103.SH.csv,18300557.2076
600966.SH.csv,18290702.2336
600926.SH.csv,18279342.775678866
600060.SH.csv,18180549.1092
600903.SH.csv,18173411.368067227
600171.SH.csv,18118815.3132
002307.SZ.csv,18114136.1272
000672.SZ.csv,18113903.07597173
002460.SZ.csv,18106883.32115548
000516.SZ.csv,18098433.7872
002526.SZ.csv,18097246.89202292
000671.SZ.csv,18072094.7
600611.SH.csv,18055228.6436
002807.SZ.csv,18054818.970420934
300287.SZ.csv,18043504.828914456
002665.SZ.csv,18031653.16836735
600596.SH.csv,18021254.8812
600206.SH.csv,17992910.312
300418.SZ.csv,17988491.468652036
000961.SZ.csv,17964045.616
600078.SH.csv,17933826.8244
600200.SH.csv,17825618.8256
600664.SH.csv,17814363.6216
000823.SZ.csv,17813068.2896
002486.SZ.csv,17812249.407951597
601611.SH.csv,17773877.27205101
600673.SH.csv,17770896.07
600588.SH.csv,17766290.7832
600176.SH.csv,17750195.5432
002426.SZ.csv,17713428.60642738
600094.SH.csv,17693201.15050651
000795.SZ.csv,17691735.8228
300370.SZ.csv,17680356.915678523
600507.SH.csv,17652955.4248
600226.SH.csv,17621342.7096
000036.SZ.csv,17499791.516
002237.SZ.csv,17436628.9936
600776.SH.csv,17373871.906
000806.SZ.csv,17351498.3668
600470.SH.csv,17347810.9444
600880.SH.csv,17290118.0876
000868.SZ.csv,17284225.3124
000829.SZ.csv,17282687.7144
600800.SH.csv,17274249.3696
600963.SH.csv,17252438.934
600736.SH.csv,17193483.5524
600874.SH.csv,17191939.6696
600704.SH.csv,17164291.7896
600487.SH.csv,17153941.1268
603323.SH.csv,17148827.438106798
600527.SH.csv,17139879.2436
300002.SZ.csv,17065318.5032
600354.SH.csv,17042093.8688
000959.SZ.csv,17035173.646
002102.SZ.csv,17027817.826
002465.SZ.csv,17011439.433091063
000767.SZ.csv,16995238.0572
000410.SZ.csv,16991240.4692
601069.SH.csv,16987460.440784313
002503.SZ.csv,16981250.770842426
300152.SZ.csv,16975655.06501548
002056.SZ.csv,16975414.8632
600322.SH.csv,16971210.3804
600662.SH.csv,16911464.1144
600151.SH.csv,16905846.8268
000682.SZ.csv,16864166.7712
600496.SH.csv,16799956.3884
002005.SZ.csv,16777994.454
601058.SH.csv,16742410.370093457
600728.SH.csv,16717436.2328
300383.SZ.csv,16716016.998678995
002263.SZ.csv,16704666.2652
600438.SH.csv,16696107.7372
600831.SH.csv,16693426.6404
600624.SH.csv,16675995.998
600127.SH.csv,16654751.2628
002556.SZ.csv,16649328.181818182
600118.SH.csv,16642384.7768
000883.SZ.csv,16616199.7492
600269.SH.csv,16609544.7084
688085.SH.csv,16595765.333333334
600959.SH.csv,16536536.875515252
